"","address","TAX.CLASS","TOTAL","CITY","Zip.Code","STATE","Violation_Count"
"1","5015 BATTERY LN","R038",179628.48,"BETHESDA","20814","MD",275
"2","4998 BATTERY LN","R038",2254.35,"BETHESDA","20814","MD",247
"3","20 RITCHIE AVE","R074",19830.76,"SILVER SPRING","20910","MD",271
"4","305 CHARLTON CT","R038",6377.34,"SILVER SPRING","20902","MD",76
"5","10225 FREDERICK AVE","R027",195480.58,"KENSINGTON","20895","MD",3593
"6","8011 NORFOLK AVE","R079",97486.11,"BETHESDA","20814","MD",2
"7","5608 LONE OAK DR","R038",8549.53,"BETHESDA","20814","MD",1
"8","13430 BISSEL LN","R053",15220.93,"POTOMAC","20854","MD",1
"9","11200 LOCKWOOD DR","R042",793881.8,"SILVER SPRING","20901","MD",9122
"10","19235 FREDERICK RD","R042",28490.64,"GERMANTOWN","20876","MD",1
"11","1220 EAST WEST HWY","R086",733850.16,"SILVER SPRING","20910","MD",832
"12","1001 SPRING ST","R086",521270.82,"SILVER SPRING","20910","MD",532
"13","13344 FOXHALL DR","R038",7343.95,"SILVER SPRING","20906","MD",1
"14","1006 QUEBEC TER","R038",23112.02,"SILVER SPRING","20903","MD",385
"15","13102 MIDDLEVALE LN","R038",5913.02,"SILVER SPRING","20906","MD",2
"16","15408 DURANT ST","R042",6713.03,"SILVER SPRING","20905","MD",6
"17","8560 2ND AVE","R086",505.04,"SILVER SPIRNG","20910","MD",1706
"18","8560 2ND AVE","R086",553.53,"SILVER SPRING","20910","MD",1706
"19","1 STOCKTON RD","R038",7678.59,"SILVER SPRING","20901","MD",1
"20","15435 BARNESVILLE RD","R042",16124.3,"BOYDS","20841","MD",1
"21","7911 GARLAND AVE","R038",9013.32,"TAKOMA PARK","20912","MD",26
"22","8511 FLOWER AVE","R038",7316.8,"TAKOMA PARK","20912","MD",29
"23","8003 GARLAND AVE","R038",6887.77,"TAKOMA PARK","20912","MD",10
"24","8104 GARLAND AVE","R038",8023.57,"TAKOMA PARK","20912","MD",2
"25","4890 BATTERY LN","R038",137023.1,"BETHESDA","20814","MD",165
"26","9300 CORPORATE BLVD","R053",611088.15,"ROCKVILLE","20850","MD",11
"27","8714 PLYMOUTH ST","R038",7941.8,"SILVER SPRING","20901","MD",101
"28","731 EASLEY ST","R038",7657.38,"SILVER SPRING","20910","MD",18
"29","811 KENNEBEC AVE","R038",6362.13,"TAKOMA PARK","20912","MD",4
"30","12164 ISLAND VIEW CIR","R042",4240.11,"GERMANTOWN","20874","MD",6
"31","11110 VALLEY VIEW AVE","R038",5058.45,"KENSINGTON","20895","MD",26
"32","4233 STAFFORD RD","R042",8122.09,"OLNEY","20832","MD",2
"33","18116 KILRUSH CT","R042",3212.48,"GAITHERSBURG","20886","MD",1
"34","13920 WAGON WAY","R038",7380.82,"SILVER SPRING","20906","MD",1
"35","11815 DEWEY RD","R038",4624.44,"SILVER SPRING","20906","MD",1
"36","657 HOUSTON AVE","R074",38523.25,"TAKOMA PARK","20912","MD",406
"37","12630 VEIRS MILL RD","R038",587560.87,"ROCKVILLE","20853","MD",1389
"38","15317 DURANT ST","R042",6316.62,"SILVER SPRING","20905","MD",11
"39","9216 VILLA DR","R038",9236.99,"BETHESDA","20817","MD",2
"40","9336 GEORGIA AVE","R084",26220.65,"SILVER SPRING","20910","MD",2
