"","address","TAX.CLASS","TOTAL","CITY","Zip.Code","STATE","Violation_Count","Longitude","Latitude"
"1","5015 BATTERY LN","R038",179628.48,"BETHESDA","20814","MD",275,-77.10265946,38.99188017
"2","4998 BATTERY LN","R038",2254.35,"BETHESDA","20814","MD",247,-77.10089757,38.99227618
"3","20 RITCHIE AVE","R074",19830.76,"SILVER SPRING","20910","MD",271,-77.00735948,38.9847978
"4","305 CHARLTON CT","R038",6377.34,"SILVER SPRING","20902","MD",76,-77.01368933,39.04442324
"5","10225 FREDERICK AVE","R027",195480.58,"KENSINGTON","20895","MD",3593,-77.06973685,39.02343229
"6","8011 NORFOLK AVE","R079",97486.11,"BETHESDA","20814","MD",2,-77.09889968,38.98996626
"7","5608 LONE OAK DR","R038",8549.53,"BETHESDA","20814","MD",1,-77.11278294,39.01990029
"8","13430 BISSEL LN","R053",15220.93,"POTOMAC","20854","MD",1,-77.27469237,39.06246643
"9","11200 LOCKWOOD DR","R042",793881.8,"SILVER SPRING","20901","MD",9122,-76.99137398,39.03935509
"10","19235 FREDERICK RD","R042",28490.64,"GERMANTOWN","20876","MD",1,NA,NA
"11","1220 EAST WEST HWY","R086",733850.16,"SILVER SPRING","20910","MD",832,-77.0295711,38.99052244
"12","1001 SPRING ST","R086",521270.82,"SILVER SPRING","20910","MD",532,-77.02623643,38.99906864
"13","13344 FOXHALL DR","R038",7343.95,"SILVER SPRING","20906","MD",1,-77.05841656,39.07292879
"14","1006 QUEBEC TER","R038",23112.02,"SILVER SPRING","20903","MD",385,-76.98958245,38.9993487
"15","13102 MIDDLEVALE LN","R038",5913.02,"SILVER SPRING","20906","MD",2,-77.04096581,39.07031597
"16","15408 DURANT ST","R042",6713.03,"SILVER SPRING","20905","MD",6,-76.97294153,39.1083834
"17","8560 2ND AVE","R086",505.04,"SILVER SPIRNG","20910","MD",1706,NA,NA
"18","8560 2ND AVE","R086",505.04,"SILVER SPIRNG","20910","MD",1706,NA,NA
"19","8560 2ND AVE","R086",553.53,"SILVER SPRING","20910","MD",1706,NA,NA
"20","8560 2ND AVE","R086",553.53,"SILVER SPRING","20910","MD",1706,NA,NA
"21","1 STOCKTON RD","R038",7678.59,"SILVER SPRING","20901","MD",1,-77.00832723,39.00903842
"22","15435 BARNESVILLE RD","R042",16124.3,"BOYDS","20841","MD",1,-77.32100282,39.18987746
"23","7911 GARLAND AVE","R038",9013.32,"TAKOMA PARK","20912","MD",26,-76.9981529,38.98862494
"24","8511 FLOWER AVE","R038",7316.8,"TAKOMA PARK","20912","MD",29,-77.00264851,38.99536851
"25","8003 GARLAND AVE","R038",6887.77,"TAKOMA PARK","20912","MD",10,-76.99859859,38.98954983
"26","8104 GARLAND AVE","R038",8023.57,"TAKOMA PARK","20912","MD",2,-76.99919857,38.9904713
"27","4890 BATTERY LN","R038",137023.1,"BETHESDA","20814","MD",165,-77.0983892,38.99253059
"28","9300 CORPORATE BLVD","R053",611088.15,"ROCKVILLE","20850","MD",11,-77.19116199,39.10790923
"29","8714 PLYMOUTH ST","R038",7941.8,"SILVER SPRING","20901","MD",101,-77.00747574,39.00030767
"30","731 EASLEY ST","R038",7657.38,"SILVER SPRING","20910","MD",18,-77.02037345,38.99416454
"31","811 KENNEBEC AVE","R038",6362.13,"TAKOMA PARK","20912","MD",4,-77.00039137,38.99011327
"32","12164 ISLAND VIEW CIR","R042",4240.11,"GERMANTOWN","20874","MD",6,-77.25279899,39.16623692
"33","11110 VALLEY VIEW AVE","R038",5058.45,"KENSINGTON","20895","MD",26,-77.06003,39.03781761
"34","4233 STAFFORD RD","R042",8122.09,"OLNEY","20832","MD",2,-77.08495414,39.14629795
"35","18116 KILRUSH CT","R042",3212.48,"GAITHERSBURG","20886","MD",1,-77.19451827,39.15397587
"36","13920 WAGON WAY","R038",7380.82,"SILVER SPRING","20906","MD",1,-77.03619947,39.08354574
"37","11815 DEWEY RD","R038",4624.44,"SILVER SPRING","20906","MD",1,-77.08845845,39.04879033
"38","657 HOUSTON AVE","R074",38523.25,"TAKOMA PARK","20912","MD",406,-77.00468687,38.98981157
"39","12630 VEIRS MILL RD","R038",587560.87,"ROCKVILLE","20853","MD",1389,-77.09539166,39.06333711
"40","15317 DURANT ST","R042",6316.62,"SILVER SPRING","20905","MD",11,-76.97177307,39.10655752
"41","9216 VILLA DR","R038",9236.99,"BETHESDA","20817","MD",2,-77.12974344,39.00690773
"42","9336 GEORGIA AVE","R084",26220.65,"SILVER SPRING","20910","MD",2,-77.04008364,39.00806832
"43","912 LAREDO RD","R038",5637.87,"SILVER SPRING","20901","MD",1,-77.0248227,39.02671446
"44","7421 CEDAR AVE","R074",12165.95,"TAKOMA PARK","20912","MD",3,-77.0122435,38.98057217
"45","7809 LOCKNEY AVE","R074",9066.02,"TAKOMA PARK","20912","MD",35,-76.99015443,38.9878389
"46","7519 CARROLL AVE","R074",14281.57,"TAKOMA PARK","20912","MD",9,-77.00186915,38.98210003
"47","9907 POMONA DR","R038",9590.72,"BETHESDA","20817","MD",1,-77.12573307,39.01738314
"48","5480 WISCONSIN AVE","R014",1017339.12,"CHEVY CHASE","20815","MD",685,-77.08711353,38.96328529
"49","22800 SWEET SHRUB DR","R042",267123.27,"CLARKSBURG","20871","MD",5,-77.25011398,39.2303527
"50","9028 GREEN RUN WAY","R042",5418.19,"GAITHERSBURG","20879","MD",5,-77.18648595,39.18512778
"51","5901 MONTROSE RD","R025",1306697.61,"NORTH BETHESDA","20852","MD",1010,-77.11982495,39.05296648
"52","8811 COLESVILLE RD","R086",359951.72,"SILVER SPRING","20910","MD",1450,-77.02605588,38.99913776
"53","11019 CONE LN","R038",5309.8,"SILVER SPRING","20902","MD",1,-77.04540231,39.03702179
"54","10928 HORDE ST","R038",5195.08,"SILVER SPRING","20902","MD",2,-77.0431661,39.03525759
"55","2001 PRICHARD RD","R038",8231.08,"SILVER SPRING","20902","MD",8,-77.04299642,39.03606435
"56","26170 MULLINIX MILL RD","R042",4267.41,"MT AIRY","21771","MD",19,-77.17023544,39.28451584
"57","10185 SHELLDRAKE CIR","R042",3146.47,"DAMASCUS","20872","MD",1,-77.20951824,39.27803331
"58","10308 CONNECTICUT AVE","R027",7451.23,"KENSINGTON","20895","MD",3,-77.07636665,39.02492631
"59","909 PROSPECT ST","R038",6567.27,"TAKOMA PARK","20912","MD",6,-76.99898843,38.98932729
"60","19431 BRASSIE PL","R042",1238.87,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"61","19431 BRASSIE PL","R042",1238.87,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"62","19431 BRASSIE PL","R042",1238.87,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"63","19431 BRASSIE PL","R042",1238.87,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"64","19431 BRASSIE PL","R042",1238.87,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"65","19431 BRASSIE PL","R042",1238.87,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"66","19431 BRASSIE PL","R042",1238.87,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"67","19431 BRASSIE PL","R042",1238.87,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"68","19431 BRASSIE PL","R042",1392.36,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"69","19431 BRASSIE PL","R042",1392.36,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"70","19431 BRASSIE PL","R042",1392.36,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"71","19431 BRASSIE PL","R042",1392.36,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"72","19431 BRASSIE PL","R042",1392.36,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"73","19431 BRASSIE PL","R042",1392.36,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"74","19431 BRASSIE PL","R042",1392.36,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"75","19431 BRASSIE PL","R042",1392.36,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"76","19431 BRASSIE PL","R042",1680.16,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"77","19431 BRASSIE PL","R042",1680.16,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"78","19431 BRASSIE PL","R042",1680.16,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"79","19431 BRASSIE PL","R042",1680.16,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"80","19431 BRASSIE PL","R042",1680.16,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"81","19431 BRASSIE PL","R042",1680.16,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"82","19431 BRASSIE PL","R042",1680.16,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"83","19431 BRASSIE PL","R042",1680.16,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"84","19431 BRASSIE PL","R042",1856.68,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"85","19431 BRASSIE PL","R042",1856.68,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"86","19431 BRASSIE PL","R042",1856.68,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"87","19431 BRASSIE PL","R042",1856.68,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"88","19431 BRASSIE PL","R042",1856.68,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"89","19431 BRASSIE PL","R042",1856.68,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"90","19431 BRASSIE PL","R042",1856.68,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"91","19431 BRASSIE PL","R042",1856.68,"GAITHERSBURG","20886","MD",11,-77.20043654,39.17476654
"92","19431 BRASSIE PL","R042",1210.86,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"93","19431 BRASSIE PL","R042",1210.86,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"94","19431 BRASSIE PL","R042",1210.86,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"95","19431 BRASSIE PL","R042",1210.86,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"96","19431 BRASSIE PL","R042",1210.86,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"97","19431 BRASSIE PL","R042",1210.86,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"98","19431 BRASSIE PL","R042",1210.86,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"99","19431 BRASSIE PL","R042",1210.86,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"100","19431 BRASSIE PL","R042",1238.87,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"101","19431 BRASSIE PL","R042",1238.87,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"102","19431 BRASSIE PL","R042",1238.87,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"103","19431 BRASSIE PL","R042",1238.87,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"104","19431 BRASSIE PL","R042",1238.87,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"105","19431 BRASSIE PL","R042",1238.87,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"106","19431 BRASSIE PL","R042",1238.87,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"107","19431 BRASSIE PL","R042",1238.87,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"108","19431 BRASSIE PL","R042",1315.61,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"109","19431 BRASSIE PL","R042",1315.61,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"110","19431 BRASSIE PL","R042",1315.61,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"111","19431 BRASSIE PL","R042",1315.61,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"112","19431 BRASSIE PL","R042",1315.61,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"113","19431 BRASSIE PL","R042",1315.61,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"114","19431 BRASSIE PL","R042",1315.61,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"115","19431 BRASSIE PL","R042",1315.61,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"116","19431 BRASSIE PL","R042",1584.23,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"117","19431 BRASSIE PL","R042",1584.23,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"118","19431 BRASSIE PL","R042",1584.23,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"119","19431 BRASSIE PL","R042",1584.23,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"120","19431 BRASSIE PL","R042",1584.23,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"121","19431 BRASSIE PL","R042",1584.23,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"122","19431 BRASSIE PL","R042",1584.23,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"123","19431 BRASSIE PL","R042",1584.23,"MONTGOMERY VILLA","20886","MD",11,-77.20043654,39.17476654
"124","18714 SEVERN RD","R042",7507.67,"GAITHERSBURG","20879","MD",2,-77.19251141,39.16340256
"125","13605 SHERWOOD FOREST DR","R042",6237.43,"SILVER SPRING","20904","MD",3,-77.0099982,39.07858969
"126","7001 ARLINGTON RD","R079",768552.98,"BETHESDA","20814","MD",91,-77.09851711,38.97941657
"127","4550 N PARK AVE","R014",4489.11,"CHEVY CHASE","20815","MD",2,-77.09016544,38.96341395
